feature,coefficient,abs_coefficient
bot_initial_C,-3.7499945462205213,3.7499945462205213
qwen7b,-2.0695608827634016,2.0695608827634016
phi4,1.6862821124377767,1.6862821124377767
llama8b,-1.5376917427338193,1.5376917427338193
gpt4omini,1.5264188711332884,1.5264188711332884
llama70b,1.4802352920335589,1.4802352920335589
tulu3,-1.119628521949793,1.119628521949793
C_distance,1.0307157905444755,1.0307157905444755
scenario_formality,0.8862318176772912,0.8862318176772912
scenario_emotional,-0.5325332628086177,0.5325332628086177
conversation_sentiment,0.5019010453691651,0.5019010453691651
scenario_duration,0.26930972770098355,0.26930972770098355
user_initial_C,-0.2664018063289892,0.2664018063289892
scenario_power,-0.2425141819353709,0.2425141819353709
avg_bot_reply,0.2181711356945874,0.2181711356945874
scenario_stakes,-0.2163092304527449,0.2163092304527449
avg_user_reply,-0.16591644314935308,0.16591644314935308
bot_initial_N,-0.1568240847181835,0.1568240847181835
bot_initial_A,0.1377597023010254,0.1377597023010254
A_distance,-0.08024343610410345,0.08024343610410345
bot_initial_O,0.07817651428363787,0.07817651428363787
bot_initial_E,-0.07171047552433629,0.07171047552433629
user_initial_O,0.06886652323589172,0.06886652323589172
N_distance,0.04671811398987452,0.04671811398987452
scenario_expertise,0.04298154892975524,0.04298154892975524
user_initial_E,-0.04134450163589144,0.04134450163589144
user_initial_A,-0.03777782901433695,0.03777782901433695
O_distance,0.02890843396211573,0.02890843396211573
user_initial_N,-0.02456403183830077,0.02456403183830077
E_distance,-0.0054795046968799666,0.0054795046968799666
